"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"921833","Hönnersum Einumer Straße",10.00832,52.18559,""
"921096","Hildesheim-Achtum Feuerwehr",10.008149,52.151512,""
"921095","Hildesheim-Achtum",10.006199,52.148069,""
"921094","Hildesheim-Achtum Kirschenweg",10.005749,52.144833,""
"921067","Hildesheim-Itzum",10.000077,52.11169,""
"897700","Goslar Bahnhof Oker",10.479112,51.905163,""
"895112","Ringelheim(Salzgitter) Wallmoder Straße",10.307418,52.036702,""
"921803","Mahlum",10.167726,52.003595,""
"922826","Wohldenberg(Hildesheim)",10.156768,52.06189,""
"921801","Bockenem Martin-Luther-Straße",10.137342,52.01013,""
"921797","Hary",10.095381,52.005725,""
"921796","Störy",10.08498,52.009213,""
"921794","Upstedt",10.070615,52.032828,""
"921788","Bültum Wendeplatz",10.065698,52.022148,""
"921787","Groß Ilde",10.042991,52.011406,""
"921786","Klein Ilde",10.035836,52.014463,""
"921837","Neuhof b Lamspringe",10.032276,51.980456,""
"921791","Wehrstedt Lammetal",10.024734,52.046473,""
"921781","Helmscherode Landesstraße",10.024438,51.922134,""
"921790","Wehrstedt Pülm",10.017974,52.046168,""
"9121838","Lamspringe-Lammetal",10.017084,51.966406,""
"921780","Gehrenrode Sportplatz",10.015404,51.932706,""
"921828","Wehrstedt Dorfstraße",10.014936,52.043839,""
"921778","Lamspringe Ratskeller",10.014469,51.964608,""
"921789","Wehrstedt Schmiede",10.012006,52.046024,""
"921777","Lamspringe Kloster-Apotheke",10.010648,51.959215,""
"921764","Bodenburg Markt",10.009839,52.02605,""
"921965","Lamspringe Hindenburgstraße",10.009525,51.958262,""
"921776","Lamspringe Bismarckstraße",10.00636,51.958837,""
"921756","Bad Salzdetfurth Bahnhof",10.005318,52.060362,""
"921829","Wehrstedt Ahnepaule",10.005102,52.044621,""
"921765","Bodenburg Sehlemer Straße",10.003052,52.026104,""
"921759","Bad Salzdetfurth Neuer Krug",10.002684,52.054159,""
"921760","Bad Salzdetfurth Klusbrücke",10.002639,52.048532,""
"890104","Bad Grund Arboretum",10.228718,51.815801,""
"921782","Altgandersheim Krümpel",10.039108,51.903356,""
